Quin operador de SQL permet fer consultes?;INSERT;SELECT;GET;2
Quina memoria és molt ràpida en proporcionar dades que son accedeides quotidianament?;RAM;Virtual (Secundaria);Cache;3
Quin protocol de comunicació està orientat a connexió i és altament confiable per la transferència de dades?;UDP;TCP;VRRP;2
Quin es el log2(1)?;No existeix;0;1;2
Quin tipus de fragmentació de dades no podem contemplar en BBDD ditribuides?;Horitzontal;Horitzontal derivada;Diagonal;3
Que significa HTTP?;HyperText Transfer Protocol;HyperTextual Transport Protocol;HyperTextual Timed Protocol;1
Quin tipus d'arquitectura permet la compartició de recursos d'un node on aquest pot ser tant consumidor com proveidor?;Client-Servidor;CORBA;P2P;3
Com se diu la xarxa que considerem per agrupar un rang d'adreces?;Subnetwork;Overlayed Netxork;CIDR;3
Quin tipus de màscara correspon a 255.255.252.0?;/26;/22;/16;2
Protocol que serveix de comunicació entre diferents Autonomous systems;BGP;OSPF;PIM;1
